lat,lon
36.126927,-115.157591
36.130868,-115.150266
36.131904,-115.151389
36.129969,-115.155113
36.12987,-115.150453
36.131142,-115.151134
36.126316,-115.154083
36.129621,-115.150639
36.13778,-115.152931
36.129915,-115.152355
36.137003,-115.156853
36.133408,-115.156699
36.134951,-95.925234
36.139964,-95.917751
36.19642,-115.422192
36.196677,-115.424601
36.553918,-85.998058
36.851615,-119.793889
36.851341,-119.787965
36.848776,-119.793503
36.844951,-119.793179
36.852456,-119.783445
36.852684,-119.785958
37.320295,-122.027606
37.324074,-121.946437
37.324136,-121.940834
37.335609,-121.882062
37.336149,-121.885982
37.336309,-121.889738
37.35489,-121.975449
37.360086,-121.974668
37.35814,-121.97854
37.36344,-121.979249
37.373217,-121.967843
37.372864,-121.955422
37.370006,-121.965177
37.372607,-121.965341
37.369773,-122.045562
37.370265,-122.056954
37.380067,-122.057054
37.375212,-122.034846
37.37959,-122.055327
37.417992,-122.153205
37.421253,-122.144914
37.416046,-122.14032
37.414341,-122.140944
37.415993,-122.142757
37.422633,-122.138916
37.426872,-122.14812
37.420677,-122.145198
37.421278,-122.17375
37.428124,-122.139828
37.427357,-122.141663
37.428805,-122.142473
37.431739,-122.172871
37.424544,-122.176194
37.427478,-122.176148
37.444049,-122.170763
37.448294,-122.160492
37.447656,-122.158178
37.694777,-97.246496
37.699104,-97.2462
37.753868,-122.38899
37.759883,-122.39021
37.759141,-122.390928
37.763568,-122.396143
37.768345,-122.393443
37.765508,-122.393447
37.770775,-122.428441
37.774461,-122.423524
37.776126,-122.424257
37.77049,-122.42546
37.784491,-122.410786
37.779247,-122.41434
37.779741,-122.411632
37.779445,-122.411709
37.7805,-122.410312
37.782399,-122.412191
37.788313,-122.406296
37.788292,-122.415127
37.785161,-122.41666
37.787122,-122.415066
37.782738,-122.41668
37.786194,-122.408294
37.789203,-122.413971
37.785613,-122.414543
37.787008,-122.412755
37.794317,-122.417192
37.790373,-122.406003
37.792011,-122.408011
37.799481,-122.415868
37.792979,-122.411318
37.798975,-122.404271
37.801339,-122.408885
37.797291,-122.417637
37.795511,-122.412434
37.800778,-122.40334
37.803962,-122.406335
37.800674,-122.416559
37.804372,-122.409506
37.806289,-122.414061
37.798852,-122.41518
37.804677,-122.410189
37.806216,-122.417511
37.80614,-122.403645
37.809807,-122.404763
37.863974,-122.265426
37.865731,-122.259268
37.861703,-122.258119
37.905848,-122.517354
37.905591,-122.524745
37.902733,-122.526829
37.936327,-122.101079
37.935287,-122.10666
38.902854,-77.054444
38.90572,-77.042746
38.903685,-77.041574
38.903245,-77.043807
38.909957,-77.045839
38.906149,-77.047863
38.905887,-77.045205
38.911566,-77.04794
38.932628,-76.86708
38.934963,-76.868922
38.992552,-76.937495
39.37487,-104.905939
39.730845,-86.311876
39.731567,-86.305276
39.728934,-86.306036
39.947174,-75.156004
39.952696,-75.158495
39.950834,-75.159339
39.954206,-75.15888
39.952983,-75.158119
39.953449,-75.174523
39.950756,-75.172208
39.95225,-75.17133
39.954706,-75.169898
39.956072,-75.177637
39.950645,-75.176121
39.960401,-75.176066
39.955856,-75.172952
39.963285,-75.182599
39.959104,-75.177806
40.465326,-79.886955
40.575664,-73.966602
40.579157,-73.965907
40.577665,-74.167864
40.580928,-74.162086
40.581858,-111.860166
40.578565,-111.86395
40.633302,-74.010255
40.632628,-74.015783
40.632254,-74.01197
40.637414,-74.010883
40.632231,-74.00767
40.636574,-74.014706
40.63553,-74.005145
40.636187,-74.011259
40.638763,-74.011167
40.634678,-74.005719
40.642407,-74.014146
40.633615,-74.008616
40.634953,-74.004493
40.63561,-74.007296
40.642184,-74.013132
40.634218,-74.010532
40.634993,-74.004936
40.641804,-74.008746
40.634189,-74.010097
40.637474,-74.007848
40.642335,-74.010287
40.638227,-74.004709
40.635733,-74.00138
40.640978,-74.010015
40.657042,-73.916681
40.653994,-73.918672
40.653254,-73.921043
40.65222,-73.918157
40.659459,-73.91328
40.653425,-73.913965
40.666218,-73.919937
40.664406,-73.933892
40.66318,-73.888975
40.668962,-73.93197
40.669749,-73.892001
40.673543,-88.020971
40.670783,-73.995866
40.679335,-73.997282
40.700635,-73.799697
40.706266,-73.801264
40.702806,-73.684089
40.712606,-73.989882
40.71162,-74.009835
40.712278,-74.007138
40.716955,-73.993423
40.713905,-73.992298
